Axis,Demographic,OR,2.50%,97.50%,N
race_group,White,1.00,1.00,1.00,16098
race_group,Black,1.11,1.09,1.13,2052
race_group,Asian,0.95,0.89,0.99,665
race_group,Hispanic,0.90,0.84,0.97,820
gender,M,1.00,1.00,1.00,11263
gender,F,0.99,0.97,0.99,8372
language,ENGLISH,1.00,1.00,1.00,17732
language,No English,0.98,0.97,1.06,1903
